group,name,anatomy,modality,targets,link,link_type,worksheet,row
Radiography,ASOCA,Vessel,X-Ray,Coronary Arteries,https://reshare.ukdataservice.ac.uk/855916/,Dataset,organizers,53
Radiography,BTXRD,Bone,X-Ray,Bone tumors,https://doi.org/10.6084/m9.figshare.27865398,Dataset,organizers,144
Radiography,DenPAR: Annotated Intra-Oral Periapical Radiographs Dataset for Machine Learning,Tooth,X-ray,Tooth and teeth,https://zenodo.org/records/16645076,Dataset,participants,77
Radiography,HipXRay,Pelvic Cavity,X-ray,Bones,https://data.mendeley.com/datasets/zm6bxzhmfz/1,Dataset,participants,36
Radiography,PanDental,Dental,X-ray,"Teeth,Jaw",https://data.mendeley.com/datasets/hxt48yk462/2,Dataset,participants,40
Radiography,PAXRay++,Lung,X-ray,Thorax,https://github.com/ConstantinSeibold/ChestXRayAnatomySegmentation/,Dataset,participants,41
Radiography,PENGWIN,Pelvis,X-Ray,Pelvic fracture,https://doi.org/10.5281/zenodo.10913195,Dataset,organizers,161
Radiography,SCR (images from JSRT),Lung,X-ray,"Lungs, heart, clavicle",https://zenodo.org/record/7056076,Dataset,participants,38
Radiography,STS-2D-Tooth,Oral,X-Ray,tooth,https://zenodo.org/records/10597292,Dataset,organizers,142
Radiography,ToothSeg,Head and Neck,X-ray,Teeth,https://humansintheloop.org/resources/datasets/teeth-segmentation-dataset/,Dataset,participants,39
Mammography,CDD-CESM,Chest,Mammography,lesion,https://doi.org/10.7937/29kw-ae92,Dataset,organizers,61
PET and nuclear medicine,FDG-PET-CT-Lesions (autoPET),whole body,PET,tumor,https://it-portal.med.uni-muenchen.de/autopet/Autopet_v1.1.tgz,Dataset,organizers,26
PET and nuclear medicine,HECKTOR,Head and Neck,PET,Head and Neck Tumor,https://hecktor.grand-challenge.org,Dataset,participants,52
PET and nuclear medicine,Soft Tissue Sarcoma,Abdomen,PET,Soft Tissue Sarcom,https://www.cancerimagingarchive.net/collection/soft-tissue-sarcoma/,Dataset,participants,65
Ophthalmic imaging,CHASE,Retinal,Fundus photography,Veins,https://blogs.kingston.ac.uk/retinal/chasedb1/,Dataset,participants,16
Ophthalmic imaging,COph100,Eye,Fundus,Retinal vessel,https://springernature.figshare.com/articles/dataset/COph100_A_Comprehensive_Fundus_Image_Registration_Dataset_from_Infants_constituting_the_RIDIRP_database/27061084?file=51235925,Dataset,organizers,145
Ophthalmic imaging,Drive,Vessel,Fundus,Fundus Blood vessel,https://www.dropbox.com/sh/z4hbbzqai0ilqht/AAARqnQhjq3wQcSVFNR__6xNa?dl=0,Dataset,organizers,71
Ophthalmic imaging,EOphtha,Retinal,Retinal,Eye microaneurysms,https://www.adcis.net/en/third-party/e-ophtha/,Dataset,participants,29
Ophthalmic imaging,FairSeg,Eye,Fundus,Cup-Disc,https://github.com/Harvard-Ophthalmology-AI-Lab/FairSeg,Dataset,participants,76
Ophthalmic imaging,FIVES,Eyes,Fundus,Vessel,https://figshare.com/articles/figure/FIVES_A_Fundus_Image_Dataset_for_AI-based_Vessel_Segmentation/19688169/1,Dataset,participants,15
Ophthalmic imaging,IDRiD,Eye,Fundus,Lesions and Optic Disc,https://ieee-dataport.org/open-access/indian-diabetic-retinopathy-image-dataset-idrid,Dataset,organizers,84
Ophthalmic imaging,Intraretinal Cystoid Fluid,Eye,OCT,Cystoid Macular Edema,https://doi.org/10.1002/ima.22662,Paper,organizers,85
Ophthalmic imaging,OCTA500,Head and Neck,OCT,Veins,https://ieee-dataport.org/open-access/octa-500,Dataset,participants,28
Ophthalmic imaging,PAPILA,Eye,Fundus,Optic Disc (OD) Optic Cup (OC),https://figshare.com/articles/dataset/PAPILA/14798004/1,Dataset,organizers,102
Ophthalmic imaging,RAVIR,Eye,Fundus,Retinal Arteries and Veins,https://drive.google.com/file/d/1ZlZoSStvE9VCRq3bJiGhQH931EF0h3hh/view,Dataset,organizers,107
Ophthalmic imaging,STARE,Head and Neck,Fundus,Veins,https://cecas.clemson.edu/~ahoover/stare/,Dataset,participants,14
Pathology,Automated Gleason Grading Challenge 2022,Pelvis,Pathology (H&E stained),Prostate cancer,https://aggc22.grand-challenge.org/AGGC22/,Dataset,organizers,54
Pathology,Breast Cancer Segmentation,Cell,Pathology (H&E stained),Breast cancer,https://github.com/PathologyDataScience/BCSS,Dataset,organizers,58
Pathology,GlaS@MICCAI'2015,Abdomen,Pathology (H&E stained),Gland,https://www.kaggle.com/datasets/sani84/glasmiccai2015-gland-segmentation,Dataset,organizers,78
Pathology,HuBMAP - Hacking the Kidney,Abdomen,Pathology (PAS Stained and H&E stained),glomeruli FTU,https://www.kaggle.com/competitions/hubmap-kidney-segmentation/data?select=test,Dataset,organizers,81
Pathology,HuBMAP - HPA,Abdomen,Pathology,functional tissue unit (FTU),https://www.kaggle.com/competitions/hubmap-organ-segmentation/,Dataset,organizers,82
Pathology,MonuSeg,Chest,Pathology (H&E stained),tumor cell nuclei,https://www.kaggle.com/datasets/tuanledinh/monuseg2018,Dataset,organizers,94
Pathology,PanNuke,Cell,Pathology (H&E stained),nuclei,https://www.kaggle.com/datasets/andrewmvd/cancer-inst-segmentation-and-classification,Dataset,organizers,101
Pathology,Wsss4luad,Chest,Pathology (H&E stained),Lung adenocarcinoma,https://wsss4luad.grand-challenge.org/License/,Dataset,organizers,118
Dermatology,ISIC2017,Skin,Dermoscopy,Lesions,https://challenge.isic-archive.com/landing/2017/,Dataset,participants,12
Dermatology,ISIC2018,Skin,Dermoscopy,full lesion (Melanoma),https://challenge.isic-archive.com/data/#2020,Dataset,organizers,86
Dermatology,uwaterloo skin cancer,Skin,Dermoscopy,skin lesion (melanoma),https://vip.uwaterloo.ca/skin-cancer-detection/,Dataset,organizers,114
